#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
slovene;Slovene;;;;Esloveno;;;;;;;;;x
norsegael;Norse-Gael;;;;Nórdico-gaélico;;;;;;;;;x
sicilian;Sicilian;;;;Siciliano;;;;;;;;;x
CHARACTER_TOOLTIP_DELAYED;[GetStatusInfo]\nID: §Y[GetID]§!\nDynasty: §Y[GetOnlyDynastyName]§!\nReligion: §Y[Religion.GetName]§!\nCulture: §Y[Culture.GetName]\n;;;;[GetStatusInfo]\nID: §Y[GetID]§!\nDinastía: §Y[GetOnlyDynastyName]§!\nReligión: §Y[Religion.GetName]§!\nCultura: §Y[Culture.GetName]\n;;;;;;;;;x
holy_war_cooldown;Holy War Cooldown;;;;Espera para otra Guerra santa;;;;;;;;;x
coastal_republic_cooldown;Seize Coast Cooldown;;;;Espera para otro Apoderarse de la costa;;;;;;;;;x
TITLE_TIER_IS_LOWER;Rank is lower than §Y$RANK$§!\n;Le rang de §Y$NAME$§! est inférieur à §Y$RANK$§!\n;§Y$NAME$'s§! Rang ist geringer als der von §Y$RANK$§!\n;;El rango de §Y$NAME$§! es inferior al de §Y$RANK$§!\n;;;;;;;;;x
TITLE_TIER_IS_NOT_LOWER;Rank is NOT lower than §Y$RANK$§!\n;Le rang de §Y$NAME$§! n'est PAS inférieur à §Y$RANK$§!\n;§Y$NAME$'s§! Rang ist nicht geringer als der von §Y$RANK$§!\n;;El rango de §Y$NAME$§! NO es inferior al de §Y$RANK$§!\n;;;;;;;;;x
TITLE_TIER_IS_HIGHER;Rank is higher than §Y$RANK$§!\n;Le rang de §Y$NAME$§! est supérieur à §Y$RANK$§!\n;§Y$NAME$'s§! Rang ist höher als der von §Y$RANK$§!\n;;El rango de §Y$NAME$§! es superior al de §Y$RANK$§!\n;;;;;;;;;x
TITLE_TIER_IS_NOT_HIGHER;Rank is NOT higher than §Y$RANK$§!\n;Le rang de §Y$NAME$§! n'est PAS supérieur à §Y$RANK$§!\n;§Y$NAME$'s§! Rang ist nicht höher als der von §Y$RANK$§!\n;;El rango de §Y$NAME$§! NO es superior al de §Y$RANK$§!\n;;;;;;;;;
obj_become_king_desc;[This.GetTitledFirstName] wants to become King of [This.Capital.Kingdom.GetName]. If pagan, it allows [This.GetObjectPronoun] to use the Subjugation Casus Belli once every three years within the kingdom.;[This.GetTitledFirstName] désire devenir roi de [This.Capital.Kingdom.GetName]. S'il est païen, cela permet à/au [This.GetObjectPronoun] l'utilisation illimitée de l'assujettissement casus belli au sein du royaume. ;[This.GetTitledFirstName] möchte König von [This.Capital.Kingdom.GetName] werden. Bei heidnischer Herrschaft erlaubt dies [This.GetObjectPronoun] die unbegrenzte Verwendung des Kriegsgrunds Unterwerfung in diesem Königreich.;; [This.GetTitledFirstName] quiere convertirse en Rey de [This.Capital.Kingdom.GetName]. Si es pagano, le permite el uso ilimitado del Casus Belli por Subyugación dentro del reino.;;;;;;;;;x
pagan_subjugation_desc;Pagans are allowed to subjugate other pagan rulers once in their lifetime. (With the 'Become King' ambition, this can be repeated every three years.) Free men are always willing to follow the mightiest ruler...;"Les païens peuvent assujettir d'autres païens, ce, une seule fois pendant toute leur vie. (Avec l'ambition ""Devenir roi"", cette limitation est levée quand il s'agit de cibles à l'intérieur du royaume visé.) Les hommes libres veulent toujours suivre le souverain le plus puissant...";Heiden dürfen einmal im Leben andere heidnische Anfährer unterwerfen. (Mit der 'König werden'-Ambition gibt es kein solches Zeitlimit gegen Gegner innerhalb des Königreiches.) Freie Männer sind immer willens, dem stärksten Herrscher zu folgen...;;Los paganos pueden subyugar a otros gobernantes paganos una vez en la vida. (Con la ambición 'Convertirse en Rey' puedes repetir cada tres años) Los hombres libres siempre estarán dispuestos a seguir al gobernante más poderoso...;;;;;;;;;x
cultural_flexibility;Cultural Flexibility;;;;Flexibilidad cultural;;;;;;;;;x
opinion_increased_crown_levies;Increased Crown Levies;;;;Levas reales aumentadas;;;;;;;;;x
opinion_protected_inheritance;Disabled External Inheritance;;;;Desactivada Herencias al exterior;;;;;;;;;x
RETINUE_EXPL_DEL;Your Retinue is a standing army consisting of §Y250-man§! regiments. Unlike Army Levies, retinues are always on the map and reinforce slowly. Retinues cost the most maintenance while reinforcing, but will still cost one fourth of their maximum reinforcement cost when simply being maintained.\nThe maximum number of retinue regiments you can field depends on your §YMilitary Organization§! technology, the size of all the levies in your realm, and the buildings in your demesne.;;;;Tu séquito es un ejército permanente formado por regimientos de §Y250 hombres§!. Al contrario que las levas, los séquitos permanecen en el mapa reforzándose lentamente. Cuesta dinero mantener los séquitos, y cuatro veces más si es necesario reforzarlos.\nEl número máximo de regimientos de séquitos depende tu tecnología de §YOrganización Militar§!, del tamaño de las levas del reino, y de los edificios de tu heredad.;;;;;;;;;x
gluttonous_death;of gluttony;;;;de glotonería;;;;;;;;;x
is_not_allied;Target is not an ally\n;;;;El objetivo no es un aliado\n;;;;;;;;;x
religious_enemy;Target is a religious enemy\n;;;;El objetivo es un enemigo religioso\n;;;;;;;;;x
baqt_active;Unaffected by Baqt;;;;No afectado por la Baqt;;;;;;;;;x
